國,英,數,地,歷
81,67,97,76,54
79,61,87,66,67
91,84,96,87,84
56,50,98,79,89
76,100,81,67,98
52,78,89,64,72
81,98,59,56,95
92,80,89,90,99
92,91,94,67,56
61,96,68,63,82
90,71,90,60,63
57,89,73,58,81
82,90,55,74,62
55,95,67,99,89
82,79,77,74,69
83,73,89,89,98
90,65,52,70,99
77,80,90,68,66
71,94,52,57,72
93,68,52,83,83
99,52,58,94,82
75,73,57,57,98
86,91,96,77,56
95,83,87,93,97
96,88,97,53,54
92,85,97,93,82
50,79,76,51,91
83,64,94,81,95
100,69,92,65,81
86,78,96,50,84
93,87,91,99,58
84,65,62,78,52
60,94,94,66,59
65,74,74,90,84
62,95,93,70,85
71,100,87,60,92
87,63,95,94,66
76,68,53,84,92
92,63,87,71,51
100,61,89,86,58
91,71,73,58,85
74,64,95,94,81
64,55,52,67,90
55,59,53,92,65
63,78,75,55,50
66,86,52,68,71
51,70,65,64,74
75,75,81,90,90
75,88,73,92,64
70,87,96,86,100
